$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$  FUSELAGE GRID IDS
$  Extracted from /home/FLUT/MAD/V08/BULK/MAD_L108_GRIDS_R10_003.dat on
$    10/17/12
$
$-----------------------------------------------------------------------
$-----------------------------------------------------------------------
$
$ UPDATE 8-28-2010
$ ----------------
$ Corrected Coordinate system for the following nodes
$ LHS:  60000,60005,60010,60015,60020,60025,60030,60035
$ RHS:  60500,60505,60510,60515,60520,60525,60530,60535
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ADD NID 5000 --> Air Data Boom Mass Center
$ ADD NID's 5001, 5002 for Air Data Boom Attachments
$
$ RELEASE 02 UPDATE 9-01-2010
$ ---------------------------
$ ---Changes to match 046F0110 Drawing---
$ Removed nodes upon removal of selected elements to create access
$ openings.
$
$ RELEASE 04 UPDATE 11-3-2010
$ ---------------------------
$ Changes made to incorporate the moving of the control surface actuators
$ to the lower surface.
$
$ Updated coordinates of MLG
$-----------------------------------------------------------------------
$ 
$ FLUTTER UPDATES
$ ---------------
$ Commented out Stress Air Boom GRIDS
GRID    10415   0       148.954 10.000  94.135  0
GRID    10416   0       148.954 10.000  97.893  0
GRID    10417   0       148.954 10.000  100.991 0
GRID    10418   0       148.954 10.000  104.090 0
GRID    10419   0       148.954 10.000  107.837 0
GRID    10420   0       153.026 10.000  94.344  0
GRID    10421   0       153.026 10.000  97.918  0
GRID    10422   0       153.026 10.000  100.917 0
GRID    10423   0       153.026 10.000  103.916 0
GRID    10424   0       153.026 10.000  107.562 0
GRID    10425   0       157.098 10.000  94.658  0
GRID    10426   0       157.098 10.000  97.942  0
GRID    10427   0       157.098 10.000  100.842 0
GRID    10428   0       157.098 10.000  103.742 0
GRID    10429   0       157.098 10.000  107.139 0
GRID    10430   0       161.171 10.000  95.029  0
GRID    10431   0       161.171 10.000  97.967  0
GRID    10432   0       161.171 10.000  100.768 0
GRID    10433   0       161.171 10.000  103.569 0
GRID    10434   0       161.171 10.000  106.568 0
GRID    10435   0       163.170 10.000  95.227  0
GRID    10436   0       163.170 10.000  97.979  0
GRID    10437   0       163.170 10.000  100.731 0
GRID    10438   0       163.170 10.000  103.483 0
GRID    10439   0       163.170 10.000  106.235 0
GRID    10440   0       165.169 10.000  95.437  0
GRID    10441   0       165.169 10.000  98.085  0
GRID    10442   0       165.169 10.000  100.652 0
GRID    10443   0       165.169 10.000  103.220 0
GRID    10444   0       165.169 10.000  105.871 0
GRID    10445   0       168.210 10.000  95.785  0
GRID    10446   0       168.210 10.000  98.245  0
GRID    10447   0       168.210 10.000  100.532 0
GRID    10448   0       168.210 10.000  102.819 0
GRID    10449   0       168.210 10.000  105.262 0
GRID    10450   0       171.251 10.000  96.177  0
GRID    10451   0       171.251 10.000  98.405  0
GRID    10452   0       171.251 10.000  100.412 0
GRID    10453   0       171.251 10.000  102.419 0
GRID    10454   0       171.251 10.000  104.595 60
GRID    10455   0       174.292 10.000  96.629  0
GRID    10456   0       174.292 10.000  98.565  0
GRID    10457   0       174.292 10.000  100.291 0
GRID    10458   0       174.292 10.000  102.018 0
GRID    10459   0       174.292 10.000  103.881 60
GRID    10460   0       177.333 10.000  97.163  0
GRID    10461   0       177.333 10.000  98.725  0
GRID    10462   0       177.333 10.000  100.171 0
GRID    10463   0       177.333 10.000  101.617 0
GRID    10464   0       177.333 10.000  103.127 60
GRID    10465   0       179.332 10.000  97.569  0
GRID    10466   0       179.332 10.000  98.831  0
GRID    10467   0       179.332 10.000  100.092 0
GRID    10468   0       179.332 10.000  101.354 0
GRID    10469   0       179.332 10.000  102.615 60
$
GRID    10600   0       138.809 -15.609 97.368  0
GRID    10601   0       138.809 -15.609 99.626  0
GRID    10602   0       138.809 -15.609 101.918 0
GRID    10603   0       138.809 -15.609 104.209 0
GRID    10604   0       138.809 -15.609 106.618 0
GRID    10605   0       140.809 -15.609 97.159  0
GRID    10606   0       140.809 -15.609 99.534  0
GRID    10607   0       140.809 -15.609 101.905 0
GRID    10608   0       140.809 -15.609 104.273 0
GRID    10609   0       140.809 -15.609 106.772 0
GRID    10610   0       144.881 -15.609 96.835  0
GRID    10611   0       144.881 -15.609 99.378  0
GRID    10612   0       144.881 -15.609 101.861 0
GRID    10613   0       144.881 -15.609 104.340 0
GRID    10614   0       144.881 -15.609 106.966 0
GRID    10615   0       148.954 -15.609 96.600  0
GRID    10616   0       148.954 -15.609 99.264  0
GRID    10617   0       148.954 -15.609 101.793 0
GRID    10618   0       148.954 -15.609 104.319 0
GRID    10619   0       148.954 -15.609 106.987 0
GRID    10620   0       153.026 -15.609 96.478  0
GRID    10621   0       153.026 -15.609 99.190  0
GRID    10622   0       153.026 -15.609 101.702 0
GRID    10623   0       153.026 -15.609 104.210 0
GRID    10624   0       153.026 -15.609 106.827 0
GRID    10625   0       157.098 -15.609 96.575  0
GRID    10626   0       157.098 -15.609 99.158  0
GRID    10627   0       157.098 -15.609 101.587 0
GRID    10628   0       157.098 -15.609 104.013 0
GRID    10629   0       157.098 -15.609 106.499 0
GRID    10630   0       161.170 -15.609 96.833  0
GRID    10631   0       161.170 -15.609 99.167  0
GRID    10632   0       161.170 -15.609 101.448 0
GRID    10633   0       161.170 -15.609 103.728 0
GRID    10634   0       161.170 -15.609 106.007 0
GRID    10635   0       163.170 -15.609 96.987  0
GRID    10636   0       163.170 -15.609 99.186  0
GRID    10637   0       163.170 -15.609 101.371 0
GRID    10638   0       163.170 -15.609 103.555 0
GRID    10639   0       163.170 -15.609 105.707 0
GRID    10640   0       165.170 -15.609 97.122  0
GRID    10641   0       165.170 -15.609 99.216  0
GRID    10642   0       165.170 -15.609 101.288 0
GRID    10643   0       165.170 -15.609 103.361 0
GRID    10644   0       165.170 -15.609 105.370 0
GRID    10645   0       167.644 -15.609 97.361  0
GRID    10646   0       167.644 -15.609 99.266  0
GRID    10647   0       167.644 -15.609 101.178 0
GRID    10648   0       167.644 -15.609 103.091 0
GRID    10649   0       167.644 -15.609 104.909 0
GRID    10650   0       170.118 -15.609 97.592  0
GRID    10651   0       170.118 -15.609 99.332  0
GRID    10652   0       170.118 -15.609 101.059 0
GRID    10653   0       170.118 -15.609 102.788 0
GRID    10654   0       170.118 -15.609 104.405 0
GRID    10655   0       172.592 -15.609 97.828  0
GRID    10656   0       172.592 -15.609 99.412  0
GRID    10657   0       172.592 -15.609 100.931 0
GRID    10658   0       172.592 -15.609 102.451 0
GRID    10659   0       172.592 -15.609 103.864 0
GRID    10660   0       175.066 -15.609 98.134  0
GRID    10661   0       175.066 -15.609 99.508  0
GRID    10662   0       175.066 -15.609 100.794 0
GRID    10663   0       175.066 -15.609 102.081 0
GRID    10664   0       175.066 -15.609 103.294 0
GRID    10665   0       177.066 -15.609 98.428  0
GRID    10666   0       177.066 -15.609 99.597  0
GRID    10667   0       177.066 -15.609 100.677 0
GRID    10668   0       177.066 -15.609 101.758 0
GRID    10669   0       177.066 -15.609 102.817 0
$
GRID    10800   0       138.809 15.609  97.368  0
GRID    10801   0       138.809 15.609  99.626  0
GRID    10802   0       138.809 15.609  101.918 0
GRID    10803   0       138.809 15.609  104.209 0
GRID    10804   0       138.809 15.609  106.618 0
GRID    10805   0       140.809 15.609  97.159  0
GRID    10806   0       140.809 15.609  99.534  0
GRID    10807   0       140.809 15.609  101.905 0
GRID    10808   0       140.809 15.609  104.273 0
GRID    10809   0       140.809 15.609  106.772 0
GRID    10810   0       144.881 15.609  96.835  0
GRID    10811   0       144.881 15.609  99.378  0
GRID    10812   0       144.881 15.609  101.861 0
GRID    10813   0       144.881 15.609  104.340 0
GRID    10814   0       144.881 15.609  106.966 0
GRID    10815   0       148.954 15.609  96.600  0
GRID    10816   0       148.954 15.609  99.264  0
GRID    10817   0       148.954 15.609  101.793 0
GRID    10818   0       148.954 15.609  104.319 0
GRID    10819   0       148.954 15.609  106.987 0
GRID    10820   0       153.026 15.609  96.478  0
GRID    10821   0       153.026 15.609  99.190  0
GRID    10822   0       153.026 15.609  101.702 0
GRID    10823   0       153.026 15.609  104.210 0
GRID    10824   0       153.026 15.609  106.827 0
GRID    10825   0       157.098 15.609  96.575  0
GRID    10826   0       157.098 15.609  99.158  0
GRID    10827   0       157.098 15.609  101.587 0
GRID    10828   0       157.098 15.609  104.013 0
GRID    10829   0       157.098 15.609  106.499 0
GRID    10830   0       161.170 15.609  96.833  0
GRID    10831   0       161.170 15.609  99.167  0
GRID    10832   0       161.170 15.609  101.448 0
GRID    10833   0       161.170 15.609  103.728 0
GRID    10834   0       161.170 15.609  106.007 0
GRID    10835   0       163.170 15.609  96.987  0
GRID    10836   0       163.170 15.609  99.186  0
GRID    10837   0       163.170 15.609  101.371 0
GRID    10838   0       163.170 15.609  103.555 0
GRID    10839   0       163.170 15.609  105.707 0
GRID    10840   0       165.170 15.609  97.122  0
GRID    10841   0       165.170 15.609  99.216  0
GRID    10842   0       165.170 15.609  101.288 0
GRID    10843   0       165.170 15.609  103.361 0
GRID    10844   0       165.170 15.609  105.370 0
GRID    10845   0       167.644 15.609  97.361  0
GRID    10846   0       167.644 15.609  99.266  0
GRID    10847   0       167.644 15.609  101.178 0
GRID    10848   0       167.644 15.609  103.091 0
GRID    10849   0       167.644 15.609  104.909 0
GRID    10850   0       170.118 15.609  97.592  0
GRID    10851   0       170.118 15.609  99.332  0
GRID    10852   0       170.118 15.609  101.059 0
GRID    10853   0       170.118 15.609  102.788 0
GRID    10854   0       170.118 15.609  104.405 0
GRID    10855   0       172.592 15.609  97.828  0
GRID    10856   0       172.592 15.609  99.412  0
GRID    10857   0       172.592 15.609  100.931 0
GRID    10858   0       172.592 15.609  102.451 0
GRID    10859   0       172.592 15.609  103.864 0
GRID    10860   0       175.066 15.609  98.134  0
GRID    10861   0       175.066 15.609  99.508  0
GRID    10862   0       175.066 15.609  100.794 0
GRID    10863   0       175.066 15.609  102.081 0
GRID    10864   0       175.066 15.609  103.294 0
GRID    10865   0       177.066 15.609  98.428  0
GRID    10866   0       177.066 15.609  99.597  0
GRID    10867   0       177.066 15.609  100.677 0
GRID    10868   0       177.066 15.609  101.758 0
GRID    10869   0       177.066 15.609  102.817 0
$
GRID    15000   0       114.809 0.854   95.106  0
GRID    15001   0       114.809 0.854   97.985  0
GRID    15002   0       114.809 0.854   100.910 0
GRID    15003   0       114.809 0.854   103.834 0
GRID    15004   0       114.809 0.854   106.722 0
$
GRID    15005   0       114.809 1.753   95.254  0
GRID    15006   0       114.809 1.753   97.985  0
GRID    15007   0       114.809 1.753   100.910 0
GRID    15008   0       114.809 1.753   103.834 0
GRID    15009   0       114.809 1.753   106.605 0
$
GRID    15015   0       114.809 3.415   95.835  0
GRID    15019   0       114.809 3.415   106.206 0
GRID    15020   0       114.809 -0.854  95.106  0
GRID    15021   0       114.809 -0.854  97.985  0
GRID    15022   0       114.809 -0.854  100.910 0
GRID    15023   0       114.809 -0.854  103.834 0
GRID    15024   0       114.809 -0.854  106.722 0
$
GRID    15025   0       114.809 -1.753  95.254  0
GRID    15026   0       114.809 -1.753  97.985  0
GRID    15027   0       114.809 -1.753  100.910 0
GRID    15028   0       114.809 -1.753  103.834 0
GRID    15029   0       114.809 -1.753  106.605 0
$
GRID    15035   0       114.809 -3.415  95.835  0
GRID    15039   0       114.809 -3.415  106.206 0
$
GRID    16000   0       138.809 2.000   92.724  0
GRID    16001   0       138.809 2.000   96.915  0
GRID    16002   0       138.809 2.000   100.790 0
GRID    16003   0       138.809 2.000   104.665 0
GRID    16004   0       138.809 2.000   108.678 0
GRID    16005   0       138.809 -2.000  92.724  0
GRID    16006   0       138.809 -2.000  96.915  0
GRID    16007   0       138.809 -2.000  100.790 0
GRID    16008   0       138.809 -2.000  104.665 0
GRID    16009   0       138.809 -2.000  108.678 0
GRID    16010   0       138.809 5.000   92.987  0
GRID    16011   0       138.809 5.000   97.259  0
GRID    16012   0       138.809 5.000   100.935 0
GRID    16013   0       138.809 5.000   104.612 0
GRID    16014   0       138.809 5.000   108.515 0
GRID    16015   0       138.809 -5.000  92.987  0
GRID    16016   0       138.809 -5.000  97.259  0
GRID    16017   0       138.809 -5.000  100.935 0
GRID    16018   0       138.809 -5.000  104.612 0
GRID    16019   0       138.809 -5.000  108.515 0
GRID    16020   0       138.809 8.000   93.670  0
GRID    16021   0       138.809 8.000   97.603  0
GRID    16022   0       138.809 8.000   101.080 0
GRID    16023   0       138.809 8.000   104.558 0
GRID    16024   0       138.809 8.000   108.193 0
GRID    16025   0       138.809 -8.000  93.670  0
GRID    16026   0       138.809 -8.000  97.603  0
GRID    16027   0       138.809 -8.000  101.080 0
GRID    16028   0       138.809 -8.000  104.558 0
GRID    16029   0       138.809 -8.000  108.193 0
GRID    16030   0       138.809 11.000  94.964  0
GRID    16031   0       138.809 11.000  98.155  0
GRID    16032   0       138.809 11.000  101.315 0
GRID    16033   0       138.809 11.000  104.475 0
GRID    16034   0       138.809 11.000  107.673 0
GRID    16035   0       138.809 -11.000 94.964  0
GRID    16036   0       138.809 -11.000 98.155  0
GRID    16037   0       138.809 -11.000 101.315 0
GRID    16038   0       138.809 -11.000 104.475 0
GRID    16039   0       138.809 -11.000 107.673 0
GRID    16040   0       138.809 13.636  96.322  0
GRID    16041   0       138.809 13.636  99.008  0
GRID    16042   0       138.809 13.636  101.680 0
GRID    16043   0       138.809 13.636  104.351 0
GRID    16044   0       138.809 13.636  107.092 0
GRID    16045   0       138.809 -13.636 96.322  0
GRID    16046   0       138.809 -13.636 99.008  0
GRID    16047   0       138.809 -13.636 101.680 0
GRID    16048   0       138.809 -13.636 104.351 0
GRID    16049   0       138.809 -13.636 107.092 0
$
GRID    16050   0       138.809 14.609  96.855  0
GRID    16051   0       138.809 14.609  99.306  0
GRID    16052   0       138.809 14.609  101.786 0
GRID    16053   0       138.809 14.609  104.265 0
